company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Apple
Amazon,Software Engineer,185000,"Seattle, WA",6.0,1.0,134000.0,21000.0,0,0,0,0,0,False
Amazon,Software Engineer,240000,"Seattle, WA",16.0,8.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,190000,"Seattle, WA",9.0,3.0,115000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,247000,"Seattle, WA",5.0,5.0,122000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,245000,"Vancouver, BC, Canada",25.0,3.0,162000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,300000,"Seattle, WA",15.0,3.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,180000,"Boston, MA",13.0,1.0,145000.0,25000.0,0,0,0,0,0,False
Amazon,Software Engineer,650000,"Seattle, WA",8.0,8.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,220000,"Seattle, WA",8.0,0.0,150000.0,60000.0,0,0,0,0,0,False
Amazon,Software Engineer,288000,"Sunnyvale, CA",13.0,0.0,180000.0,160000.0,0,0,0,0,0,False
Amazon,Product Manager,255000,"Sunnyvale, CA",10.0,2.0,163000.0,45000.0,0,0,0,0,0,False
Amazon,Product Manager,580000,"Seattle, WA",12.0,10.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,175000,"Seattle, WA",9.0,2.0,152000.0,10000.0,0,0,0,0,0,False
Amazon,Product Manager,174000,"Seattle, WA",10.0,1.0,145000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,300000,"Seattle, WA",10.0,1.0,160000.0,200000.0,0,0,0,0,0,False
Amazon,Software Engineer,275000,"Palo Alto, CA",3.0,3.0,150000.0,20000.0,0,0,0,0,0,False
Amazon,Software Engineer,195000,"Seattle, WA",20.0,2.0,140000.0,40000.0,0,0,0,0,0,False
Amazon,Software Engineer,240000,"Seattle, WA",5.5,5.5,130000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,200000,"Seattle, WA",6.0,3.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,230000,"Seattle, WA",9.0,4.0,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,267000,"Seattle, WA",12.0,2.75,145000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,210000,"Boston, MA",12.0,4.0,143000.0,30000.0,0,0,0,0,0,False
Amazon,Software Engineer,275000,"Seattle, WA",4.0,4.0,145000.0,0.0,0,0,0,0,0,False
