company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Amazon
Apple,Software Engineer,351000,"Sunnyvale, CA",34.0,3.0,214000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,490000,"Cupertino, CA",8.0,6.0,180000.0,30000.0,0,0,0,0,0,False
Apple,Hardware Engineer,300000,"Cupertino, CA",11.0,4.0,170000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,350000,"Cupertino, CA",14.0,4.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,170000,"Cupertino, CA",7.0,1.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,550000,"Cupertino, CA",14.0,6.0,220000.0,50000.0,0,0,0,0,0,False
Apple,Software Engineer,153000,"Cupertino, CA",0.0,0.0,115000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,450000,"Cupertino, CA",10.0,10.0,205000.0,35000.0,0,0,0,0,0,False
Apple,Software Engineer,333000,"Cupertino, CA",7.0,4.0,0.0,0.0,0,0,0,0,0,False
Apple,Data Scientist,188000,"Cupertino, CA",6.0,1.0,125000.0,14000.0,0,0,0,0,0,False
Apple,Software Engineer,200000,"Cupertino, CA",3.0,1.5,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,210000,"Sunnyvale, CA",5.0,3.5,148000.0,8000.0,0,0,0,0,0,False
Apple,Software Engineer,125000,"Cupertino, CA",6.0,2.0,125000.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,291000,"San Francisco, CA",3.0,3.0,155000.0,22000.0,0,0,0,0,0,False
Apple,Software Engineer,300000,"San Francisco, CA",12.0,1.0,190000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,300000,"Sunnyvale, CA",11.0,3.0,175000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,245000,"Sunnyvale, CA",7.0,1.0,175000.0,30000.0,0,0,0,0,0,False
Apple,Hardware Engineer,115000,"San Francisco, CA",1.0,1.0,100000.0,5000.0,0,0,0,0,0,False
Apple,Software Engineer,320000,"Sunnyvale, CA",12.0,4.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineering Manager,340000,"Cupertino, CA",12.0,4.0,180000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,250000,"Sunnyvale, CA",7.0,0.0,170000.0,40000.0,0,0,0,0,0,False
Apple,Software Engineer,191000,"Cupertino, CA",2.0,2.0,115000.0,5000.0,0,0,0,0,0,False
Apple,Software Engineer,191000,"Cupertino, CA",2.0,2.0,115000.0,5000.0,0,0,0,0,0,False
Apple,Software Engineer,400000,"Sunnyvale, CA",4.0,3.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,215000,"Sunnyvale, CA",4.0,0.0,0.0,0.0,0,0,0,0,0,False
